"특성별(1)","특성별(2)",지출금액별(1),지출금액별(2),2022,2023,2024
"가구주직업별","기계/농림어업/단순노무",1달 기준,3만원~5만원 미만 (%),-,33.3,-
"가구주직업별","기계/농림어업/단순노무",1달 기준,5만원~10만원 미만 (%),-,35.3,-
"가구주직업별","기계/농림어업/단순노무",1달 기준,10만원 이상 (%),-,23.1,-
"가구주직업별","기계/농림어업/단순노무",1달 기준,평균 (원),-,57044,-
"가구주직업별","기타",1년 기준,3만원 미만 (%),-,-,0.7
"가구주직업별","기타",1년 기준,3만원~5만원 미만 (%),-,1.7,2.5
"가구주직업별","기타",1년 기준,5만원~10만원 미만 (%),-,14.0,14.5
"가구주직업별","기타",1년 기준,10만원 미만 (%),10.0,-,-
"가구주직업별","기타",1년 기준,10만원~15만원 미만 (%),-,21.2,14.3
"가구주직업별","기타",1년 기준,10만원~20만원 미만 (%),43.9,-,-
"가구주직업별","기타",1년 기준,15만원~20만원 미만 (%),-,8.0,10.8
"가구주직업별","기타",1년 기준,20만원 이상 (%),-,55.1,57.2
"가구주직업별","기타",1년 기준,20만원~30만원 미만 (%),11.2,-,-
"가구주직업별","기타",1년 기준,30만원~40만원 미만 (%),14.8,-,-
"가구주직업별","기타",1년 기준,40만원~50만원 미만 (%),7.0,-,-
"가구주직업별","기타",1년 기준,50만원 이상 (%),13.1,-,-
"가구주직업별","기타",1년 기준,평균 (원),292465,243188,254714
"가구주직업별","기타",1달 기준,1만원~3만원 미만 (%),-,7.6,-
"가구주직업별","기타",1달 기준,3만원~5만원 미만 (%),-,24.5,-
"가구주직업별","기타",1달 기준,5만원~10만원 미만 (%),-,43.0,-
"가구주직업별","기타",1달 기준,10만원 이상 (%),-,24.9,-
"가구주직업별","기타",1달 기준,평균 (원),-,63393,-
"월평균가구소득별","200만원 미만",1년 기준,3만원 미만 (%),-,-,2.6
"월평균가구소득별","200만원 미만",1년 기준,3만원~5만원 미만 (%),-,1.6,3.2
"월평균가구소득별","200만원 미만",1년 기준,5만원~10만원 미만 (%),-,12.3,13.9
"월평균가구소득별","200만원 미만",1년 기준,10만원 미만 (%),6.5,-,-
"월평균가구소득별","200만원 미만",1년 기준,10만원~15만원 미만 (%),-,20.8,22.8
"월평균가구소득별","200만원 미만",1년 기준,10만원~20만원 미만 (%),25.9,-,-
"월평균가구소득별","200만원 미만",1년 기준,15만원~20만원 미만 (%),-,13.4,14.6
"월평균가구소득별","200만원 미만",1년 기준,20만원 이상 (%),-,51.9,43.0
"월평균가구소득별","200만원 미만",1년 기준,20만원~30만원 미만 (%),22.3,-,-
"월평균가구소득별","200만원 미만",1년 기준,30만원~40만원 미만 (%),17.6,-,-
"월평균가구소득별","200만원 미만",1년 기준,40만원~50만원 미만 (%),8.2,-,-
"월평균가구소득별","200만원 미만",1년 기준,50만원 이상 (%),19.4,-,-
"월평균가구소득별","200만원 미만",1년 기준,평균 (원),238353,241095,193562
"월평균가구소득별","200만원 미만",1달 기준,1만원~3만원 미만 (%),-,11.5,-
"월평균가구소득별","200만원 미만",1달 기준,3만원~5만원 미만 (%),-,51.6,-
"월평균가구소득별","200만원 미만",1달 기준,5만원~10만원 미만 (%),-,29.8,-
"월평균가구소득별","200만원 미만",1달 기준,10만원 이상 (%),-,7.2,-
"월평균가구소득별","200만원 미만",1달 기준,평균 (원),-,43201,-
"월평균가구소득별","200~400만원 미만",1년 기준,3만원 미만 (%),-,-,0.7
"월평균가구소득별","200~400만원 미만",1년 기준,3만원~5만원 미만 (%),-,1.4,1.4
"월평균가구소득별","200~400만원 미만",1년 기준,5만원~10만원 미만 (%),-,9.5,14.5
"월평균가구소득별","200~400만원 미만",1년 기준,10만원 미만 (%),7.8,-,-
"월평균가구소득별","200~400만원 미만",1년 기준,10만원~15만원 미만 (%),-,19.4,21.5
"월평균가구소득별","200~400만원 미만",1년 기준,10만원~20만원 미만 (%),14.7,-,-
"월평균가구소득별","200~400만원 미만",1년 기준,15만원~20만원 미만 (%),-,9.2,10.4
"월평균가구소득별","200~400만원 미만",1년 기준,20만원 이상 (%),-,60.5,51.5
"월평균가구소득별","200~400만원 미만",1년 기준,20만원~30만원 미만 (%),23.2,-,-
"월평균가구소득별","200~400만원 미만",1년 기준,30만원~40만원 미만 (%),22.5,-,-
"월평균가구소득별","200~400만원 미만",1년 기준,40만원~50만원 미만 (%),12.9,-,-
"월평균가구소득별","200~400만원 미만",1년 기준,50만원 이상 (%),19.0,-,-
"월평균가구소득별","200~400만원 미만",1년 기준,평균 (원),311094,293358,234722
"월평균가구소득별","200~400만원 미만",1달 기준,1만원~3만원 미만 (%),-,6.8,-
"월평균가구소득별","200~400만원 미만",1달 기준,3만원~5만원 미만 (%),-,34.4,-
"월평균가구소득별","200~400만원 미만",1달 기준,5만원~10만원 미만 (%),-,39.6,-
"월평균가구소득별","200~400만원 미만",1달 기준,10만원 이상 (%),-,19.2,-
"월평균가구소득별","200~400만원 미만",1달 기준,평균 (원),-,53974,-
"월평균가구소득별","400~600만원 미만",1년 기준,3만원 미만 (%),-,-,1.9
"월평균가구소득별","400~600만원 미만",1년 기준,3만원~5만원 미만 (%),-,1.2,2.6
"월평균가구소득별","400~600만원 미만",1년 기준,5만원~10만원 미만 (%),-,10.8,7.9
"월평균가구소득별","400~600만원 미만",1년 기준,10만원 미만 (%),4.5,-,-
"월평균가구소득별","400~600만원 미만",1년 기준,10만원~15만원 미만 (%),-,9.1,16.3
"월평균가구소득별","400~600만원 미만",1년 기준,10만원~20만원 미만 (%),17.3,-,-
"월평균가구소득별","400~600만원 미만",1년 기준,15만원~20만원 미만 (%),-,13.3,13.9
"월평균가구소득별","400~600만원 미만",1년 기준,20만원 이상 (%),-,65.7,57.5
"월평균가구소득별","400~600만원 미만",1년 기준,20만원~30만원 미만 (%),17.1,-,-
"월평균가구소득별","400~600만원 미만",1년 기준,30만원~40만원 미만 (%),19.8,-,-
"월평균가구소득별","400~600만원 미만",1년 기준,40만원~50만원 미만 (%),16.0,-,-
"월평균가구소득별","400~600만원 미만",1년 기준,50만원 이상 (%),25.3,-,-
"월평균가구소득별","400~600만원 미만",1년 기준,평균 (원),311755,305175,285717
"월평균가구소득별","400~600만원 미만",1달 기준,1만원~3만원 미만 (%),-,5.8,-
"월평균가구소득별","400~600만원 미만",1달 기준,3만원~5만원 미만 (%),-,28.8,-
"월평균가구소득별","400~600만원 미만",1달 기준,5만원~10만원 미만 (%),-,45.1,-
"월평균가구소득별","400~600만원 미만",1달 기준,10만원 이상 (%),-,20.2,-
"월평균가구소득별","400~600만원 미만",1달 기준,평균 (원),-,56973,-
"월평균가구소득별","600만원 이상",1년 기준,3만원 미만 (%),-,-,0.6
"월평균가구소득별","600만원 이상",1년 기준,3만원~5만원 미만 (%),-,0.9,2.0
"월평균가구소득별","600만원 이상",1년 기준,5만원~10만원 미만 (%),-,7.8,7.9
"월평균가구소득별","600만원 이상",1년 기준,10만원 미만 (%),2.0,-,-
"월평균가구소득별","600만원 이상",1년 기준,10만원~15만원 미만 (%),-,5.8,16.0
"월평균가구소득별","600만원 이상",1년 기준,10만원~20만원 미만 (%),0.5,-,-
"월평균가구소득별","600만원 이상",1년 기준,15만원~20만원 미만 (%),-,12.3,8.5
"월평균가구소득별","600만원 이상",1년 기준,20만원 이상 (%),-,73.3,65.0
"월평균가구소득별","600만원 이상",1년 기준,20만원~30만원 미만 (%),1.9,-,-
"월평균가구소득별","600만원 이상",1년 기준,30만원~40만원 미만 (%),9.3,-,-
"월평균가구소득별","600만원 이상",1년 기준,40만원~50만원 미만 (%),8.0,-,-
"월평균가구소득별","600만원 이상",1년 기준,50만원 이상 (%),78.2,-,-
"월평균가구소득별","600만원 이상",1년 기준,평균 (원),390426,343074,410886
"월평균가구소득별","600만원 이상",1달 기준,1만원~3만원 미만 (%),-,8.5,-
"월평균가구소득별","600만원 이상",1달 기준,3만원~5만원 미만 (%),-,16.6,-
"월평균가구소득별","600만원 이상",1달 기준,5만원~10만원 미만 (%),-,50.8,-
"월평균가구소득별","600만원 이상",1달 기준,10만원 이상 (%),-,24.1,-
"월평균가구소득별","600만원 이상",1달 기준,평균 (원),-,62843,-
